community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
450,29,mid,moderate_entry_barrier,Hotel Night Auditors,"['guest service', 'hospitality', 'service-oriented']","['exude hospitality', 'join our team']",medium,1.0,1.0,0.333,0.778,3,"front, desk, night, agent, auditor, hotel, guest, hospitality, overnight, director, tampa, riverwalk","[{""community_id"": 450, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Night Auditors"", ""defining_skills"": [""service-oriented"", ""dynamic"", ""authentic""], ""defining_responsibility_signals"": [""join our team"", ""exude hospitality""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 450, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Night Auditors\"", \""defining_skills\"": [\""service-oriented\"", \""dynamic\"", \""authentic\""], \""defining_responsibility_signals\"": [\""join our team\"", \""exude hospitality\""], \""confidence\"": \""medium\""}""}, {""community_id"": 450, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Front Desk"", ""defining_skills"": [""guest service"", ""front desk"", ""hospitality""], ""defining_responsibility_signals"": [""join our team"", ""exude hospitality""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 450, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Front Desk\"", \""defining_skills\"": [\""guest service\"", \""front desk\"", \""hospitality\""], \""defining_responsibility_signals\"": [\""join our team\"", \""exude hospitality\""], \""confidence\"": \""medium\""}""}, {""community_id"": 450, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Guest Services"", ""defining_skills"": [""guest service"", ""hospitality"", ""stakeholder management""], ""defining_responsibility_signals"": [""exude hospitality"", ""prioritize needs""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 450, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Guest Services\"", \""defining_skills\"": [\""guest service\"", \""hospitality\"", \""stakeholder management\""], \""defining_responsibility_signals\"": [\""exude hospitality\"", \""prioritize needs\""], \""confidence\"": \""medium\""}""}]",19
451,29,junior,clear_entry_point,Engineering Internships,"['manufacturing', 'engineering', 'quality']","['internship', 'operations']",high,1.0,1.0,0.333,0.778,3,"intern, engineering, quality, manufacturing, summer, 2024, engineer, internship, operations, ann, eng, fall","[{""community_id"": 451, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Engineering Internships"", ""defining_skills"": [""engineering"", ""quality"", ""manufacturing""], ""defining_responsibility_signals"": [""internship"", ""operations""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 451, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Engineering Internships\"", \""defining_skills\"": [\""engineering\"", \""quality\"", \""manufacturing\""], \""defining_responsibility_signals\"": [\""internship\"", \""operations\""], \""confidence\"": \""high\""}""}, {""community_id"": 451, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Manufacturing Interns"", ""defining_skills"": [""manufacturing"", ""safety"", ""industrial""], ""defining_responsibility_signals"": [""protect workers"", ""workplaces and environment""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 451, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Manufacturing Interns\"", \""defining_skills\"": [\""manufacturing\"", \""safety\"", \""industrial\""], \""defining_responsibility_signals\"": [\""protect workers\"", \""workplaces and environment\""], \""confidence\"": \""high\""}""}, {""community_id"": 451, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Manufacturing Engineering Interns"", ""defining_skills"": [""manufacturing"", ""supply chain"", ""fixture design""], ""defining_responsibility_signals"": [""support"", ""analysis""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 451, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Manufacturing Engineering Interns\"", \""defining_skills\"": [\""manufacturing\"", \""supply chain\"", \""fixture design\""], \""defining_responsibility_signals\"": [\""support\"", \""analysis\""], \""confidence\"": \""high\""}""}]",19
452,29,junior,clear_entry_point,Interior Designers,"['design', 'interior', 'stylist']","['consultative design service', 'build lasting relationships']",medium,1.0,1.0,1.0,1.0,3,"designer, design, interior, educator, sales, mall, studio, spc, home, stylist, stuyvesant, plaza","[{""community_id"": 452, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Interior Designers"", ""defining_skills"": [""design"", ""interior"", ""stylist""], ""defining_responsibility_signals"": [""consultative design service"", ""build lasting relationships""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 452, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Interior Designers\"", \""defining_skills\"": [\""design\"", \""interior\"", \""stylist\""], \""defining_responsibility_signals\"": [\""consultative design service\"", \""build lasting relationships\""], \""confidence\"": \""medium\""}""}, {""community_id"": 452, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Interior Designers"", ""defining_skills"": [""design"", ""interior"", ""stylist""], ""defining_responsibility_signals"": [""consultative design service"", ""build lasting relationships""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 452, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Interior Designers\"", \""defining_skills\"": [\""design\"", \""interior\"", \""stylist\""], \""defining_responsibility_signals\"": [\""consultative design service\"", \""build lasting relationships\""], \""confidence\"": \""medium\""}""}, {""community_id"": 452, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Interior Designers"", ""defining_skills"": [""design"", ""interior"", ""stylist""], ""defining_responsibility_signals"": [""consultative design service"", ""build lasting relationships""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 452, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Interior Designers\"", \""defining_skills\"": [\""design\"", \""interior\"", \""stylist\""], \""defining_responsibility_signals\"": [\""consultative design service\"", \""build lasting relationships\""], \""confidence\"": \""medium\""}""}]",19
453,29,mid,moderate_entry_barrier,Facilities Maintenance,"['maintenance tasks', 'inventory management', 'safety checks']","['perform routine tasks', 'assist in setup and arrangement']",medium,1.0,1.0,0.667,0.889,3,"maintenance, admin, mission, facilities, ambition, assistant, technician, golf, food, event, bay, host","[{""community_id"": 453, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Facilities Maintenance"", ""defining_skills"": [""maintenance tasks"", ""inventory management"", ""safety checks""], ""defining_responsibility_signals"": [""perform routine tasks"", ""assist in setup and arrangement""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 453, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Facilities Maintenance\"", \""defining_skills\"": [\""maintenance tasks\"", \""inventory management\"", \""safety checks\""], \""defining_responsibility_signals\"": [\""perform routine tasks\"", \""assist in setup and arrangement\""], \""confidence\"": \""high\""}""}, {""community_id"": 453, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Facilities Maintenance"", ""defining_skills"": [""maintenance tasks"", ""inventory management"", ""safety checks""], ""defining_responsibility_signals"": [""perform routine tasks"", ""assist in setup and arrangement""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 453, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Facilities Maintenance\"", \""defining_skills\"": [\""maintenance tasks\"", \""inventory management\"", \""safety checks\""], \""defining_responsibility_signals\"": [\""perform routine tasks\"", \""assist in setup and arrangement\""], \""confidence\"": \""medium\""}""}, {""community_id"": 453, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Facility Maintenance"", ""defining_skills"": [""maintenance tasks"", ""inventory management"", ""safety checks""], ""defining_responsibility_signals"": [""perform routine tasks"", ""assist in setup""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 453, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Facility Maintenance\"", \""defining_skills\"": [\""maintenance tasks\"", \""inventory management\"", \""safety checks\""], \""defining_responsibility_signals\"": [\""perform routine tasks\"", \""assist in setup\""], \""confidence\"": \""medium\""}""}]",19
454,29,junior,moderate_entry_barrier,Scripps Health Float Pool,"['float', 'tele', 'med/surg']","['float within campuses', 'night shift']",high,1.0,1.0,0.333,0.778,3,"san, diego, per, diem, bonus, eligible, nights, tech, jolla, float, pharmacy, technician","[{""community_id"": 454, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Scripps Health Float Pool"", ""defining_skills"": [""float"", ""tele"", ""med/surg""], ""defining_responsibility_signals"": [""float within campuses"", ""night shift""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 454, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Scripps Health Float Pool\"", \""defining_skills\"": [\""float\"", \""tele\"", \""med/surg\""], \""defining_responsibility_signals\"": [\""float within campuses\"", \""night shift\""], \""confidence\"": \""high\""}""}, {""community_id"": 454, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Pharmacy Technician - Nights"", ""defining_skills"": [""pharmacy technician skills"", ""patient care"", ""medication preparation""], ""defining_responsibility_signals"": [""work alongside passionate caregivers"", ""provide patient-centered healthcare""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 454, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Pharmacy Technician - Nights\"", \""defining_skills\"": [\""pharmacy technician skills\"", \""patient care\"", \""medication preparation\""], \""defining_responsibility_signals\"": [\""work alongside passionate caregivers\"", \""provide patient-centered healthcare\""], \""confidence\"": \""medium\""}""}, {""community_id"": 454, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Pharmacy Technician - Per Diem"", ""defining_skills"": [""pharmacy"", ""float"", ""tech""], ""defining_responsibility_signals"": [""floating between sites"", ""variable shifts""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 454, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Pharmacy Technician - Per Diem\"", \""defining_skills\"": [\""pharmacy\"", \""float\"", \""tech\""], \""defining_responsibility_signals\"": [\""floating between sites\"", \""variable shifts\""], \""confidence\"": \""high\""}""}]",19
455,28,mid,moderate_entry_barrier,Retail Management,"['sales', 'leadership', 'operations']","['manage teams', 'define direction']",high,1.0,1.0,1.0,1.0,3,"manager, sales, lead, assistant, operations, analyst, tanger, sunglass, hut, bbw, key, holder","[{""community_id"": 455, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""leadership"", ""operations""], ""defining_responsibility_signals"": [""manage teams"", ""drive sales""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 455, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""leadership\"", \""operations\""], \""defining_responsibility_signals\"": [\""manage teams\"", \""drive sales\""], \""confidence\"": \""medium\""}""}, {""community_id"": 455, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""leadership"", ""operations""], ""defining_responsibility_signals"": [""manage teams"", ""define direction""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 455, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""leadership\"", \""operations\""], \""defining_responsibility_signals\"": [\""manage teams\"", \""define direction\""], \""confidence\"": \""high\""}""}, {""community_id"": 455, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""leadership"", ""operations""], ""defining_responsibility_signals"": [""manage teams"", ""define direction""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 455, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""leadership\"", \""operations\""], \""defining_responsibility_signals\"": [\""manage teams\"", \""define direction\""], \""confidence\"": \""high\""}""}]",19
456,28,junior,moderate_entry_barrier,Emergency Care Technicians,"['nursing care', 'patient care', 'medical terminology']","['provide direct patient care', 'assist registered nurses']",medium,1.0,1.0,0.667,0.889,3,"emergency, technician, care, department, nurse, medical, ukhc, nursing, room, patient, registered, prn","[{""community_id"": 456, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Emergency Care Technicians"", ""defining_skills"": [""nursing care"", ""patient care"", ""medical terminology""], ""defining_responsibility_signals"": [""provide direct patient care"", ""assist registered nurses""], ""confidence"": ""medium"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 456, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Emergency Care Technicians\"", \""defining_skills\"": [\""nursing care\"", \""patient care\"", \""medical terminology\""], \""defining_responsibility_signals\"": [\""provide direct patient care\"", \""assist registered nurses\""], \""confidence\"": \""medium\""}""}, {""community_id"": 456, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Emergency Nursing Technicians"", ""defining_skills"": [""nursing care"", ""patient care"", ""medical terminology""], ""defining_responsibility_signals"": [""assist nurses"", ""perform clinical tasks""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 456, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Emergency Nursing Technicians\"", \""defining_skills\"": [\""nursing care\"", \""patient care\"", \""medical terminology\""], \""defining_responsibility_signals\"": [\""assist nurses\"", \""perform clinical tasks\""], \""confidence\"": \""medium\""}""}, {""community_id"": 456, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Emergency Care Technicians"", ""defining_skills"": [""nursing care"", ""patient care"", ""medical terminology""], ""defining_responsibility_signals"": [""provide direct patient care"", ""assist registered nurses""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 456, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Emergency Care Technicians\"", \""defining_skills\"": [\""nursing care\"", \""patient care\"", \""medical terminology\""], \""defining_responsibility_signals\"": [\""provide direct patient care\"", \""assist registered nurses\""], \""confidence\"": \""medium\""}""}]",19
457,28,junior,clear_entry_point,Patient Care Associate,"['patient care', 'basic patient care activities', 'assist registered nurse']","['contributes to', 'under direction of']",high,1.0,1.0,0.667,0.889,3,"patient, care, assistant, medical, day, shift, clinic, access, rep, days, mercy, main","[{""community_id"": 457, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Patient Care Associate"", ""defining_skills"": [""patient care"", ""basic patient care activities"", ""assist registered nurse""], ""defining_responsibility_signals"": [""contributes to"", ""under direction of""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 457, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Patient Care Associate\"", \""defining_skills\"": [\""patient care\"", \""basic patient care activities\"", \""assist registered nurse\""], \""defining_responsibility_signals\"": [\""contributes to\"", \""under direction of\""], \""confidence\"": \""high\""}""}, {""community_id"": 457, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Patient Care Associate"", ""defining_skills"": [""patient care"", ""assistance"", ""medical""], ""defining_responsibility_signals"": [""contributes to basic patient care"", ""under the direction of a registered nurse""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 457, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Patient Care Associate\"", \""defining_skills\"": [\""patient care\"", \""assistance\"", \""medical\""], \""defining_responsibility_signals\"": [\""contributes to basic patient care\"", \""under the direction of a registered nurse\""], \""confidence\"": \""high\""}""}, {""community_id"": 457, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""clear_entry_point"", ""community_label"": ""Patient Care Representatives"", ""defining_skills"": [""patient care"", ""front desk"", ""customer service""], ""defining_responsibility_signals"": [""handle patient inquiries"", ""schedule appointments""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 457, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""clear_entry_point\"", \""community_label\"": \""Patient Care Representatives\"", \""defining_skills\"": [\""patient care\"", \""front desk\"", \""customer service\""], \""defining_responsibility_signals\"": [\""handle patient inquiries\"", \""schedule appointments\""], \""confidence\"": \""high\""}""}]",19
458,28,mid,moderate_entry_barrier,Hospital Patient Care,"['patient care', 'case management', 'team leadership']","[""primary accountability for patients' care"", 'focus on patient engagement and activation']",medium,1.0,1.0,0.667,0.889,3,"manager, patient, case, representative, nurse, care, hospital, access, service, management, director, coordinator","[{""community_id"": 458, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hospital Case Managers"", ""defining_skills"": [""patient engagement"", ""care transition"", ""longitudinal care planning""], ""defining_responsibility_signals"": [""primary accountability for patients' care"", ""focus on patient engagement and activation""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 458, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hospital Case Managers\"", \""defining_skills\"": [\""patient engagement\"", \""care transition\"", \""longitudinal care planning\""], \""defining_responsibility_signals\"": [\""primary accountability for patients' care\"", \""focus on patient engagement and activation\""], \""confidence\"": \""high\""}""}, {""community_id"": 458, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hospital Patient Care"", ""defining_skills"": [""patient care"", ""case management"", ""team leadership""], ""defining_responsibility_signals"": [""direct management"", ""coordination of care""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 458, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hospital Patient Care\"", \""defining_skills\"": [\""patient care\"", \""case management\"", \""team leadership\""], \""defining_responsibility_signals\"": [\""direct management\"", \""coordination of care\""], \""confidence\"": \""medium\""}""}, {""community_id"": 458, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hospital Patient Care"", ""defining_skills"": [""patient care"", ""case management"", ""team leadership""], ""defining_responsibility_signals"": [""communication and coordination of care"", ""management and leadership of clinical support team""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 458, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hospital Patient Care\"", \""defining_skills\"": [\""patient care\"", \""case management\"", \""team leadership\""], \""defining_responsibility_signals\"": [\""communication and coordination of care\"", \""management and leadership of clinical support team\""], \""confidence\"": \""medium\""}""}]",19
459,28,mid,moderate_entry_barrier,Facilities Maintenance,"['equipment maintenance', 'scheduling repairs', 'capital expenditure management']","['oversee facility maintenance', 'manage requisition and supply']",medium,1.0,1.0,0.333,0.778,3,"maintenance, supervisor, manager, technical, production, superintendent, plant, utilities, shift, technician, assistant, lead","[{""community_id"": 459, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Facilities Maintenance"", ""defining_skills"": [""equipment maintenance"", ""scheduling repairs"", ""capital expenditure management""], ""defining_responsibility_signals"": [""oversee facility maintenance"", ""manage requisition and supply""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 459, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Facilities Maintenance\"", \""defining_skills\"": [\""equipment maintenance\"", \""scheduling repairs\"", \""capital expenditure management\""], \""defining_responsibility_signals\"": [\""oversee facility maintenance\"", \""manage requisition and supply\""], \""confidence\"": \""high\""}""}, {""community_id"": 459, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Production Supervisors"", ""defining_skills"": [""manufacturing experience"", ""leadership terms"", ""technical skills""], ""defining_responsibility_signals"": [""supervise"", ""manage production""], ""confidence"": ""medium"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 459, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Production Supervisors\"", \""defining_skills\"": [\""manufacturing experience\"", \""leadership terms\"", \""technical skills\""], \""defining_responsibility_signals\"": [\""supervise\"", \""manage production\""], \""confidence\"": \""medium\""}""}, {""community_id"": 459, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Electrical Maintenance"", ""defining_skills"": [""electrical maintenance"", ""leadership"", ""safety protocols""], ""defining_responsibility_signals"": [""lead teams"", ""oversee operations""], ""confidence"": ""medium"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 459, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Electrical Maintenance\"", \""defining_skills\"": [\""electrical maintenance\"", \""leadership\"", \""safety protocols\""], \""defining_responsibility_signals\"": [\""lead teams\"", \""oversee operations\""], \""confidence\"": \""medium\""}""}]",19
